,Title,Title_pred,No_title,Wrong_title,Title_with_errors,Right_title,Author,Author_pred,None identified,Wrong author,Some authors,All authors
0,Cultivation and Processing of Potato in Bihar: Issues and Strategies,Cultivation and Processing of Potato in Bihar: Issues and Strategies,0,0,0,1,"K. M. Singh, Abhay Kumar, Tara Shankar, S. K. Singh","K. M. Singh, Abhay Kumar",0,0,1,0
1,The Potato Value Chain in Bihar: An assessment and Policy Implementations,The Potato Value Chain in Bihar: An Assessment and Policy Implications,0,0,0,1,"K. M. Singh, Rajib Sutradhar","K. M. Singh, Rajib Sutradhar",0,0,1,1
2,Potato diseases: a constraint potato cultivation,Potato Diseases: A Constraint in Potato Cultivation,0,0,0,1,"Ajay Kumar, Jai P. Rai",Ajay Kumar and Dr Jai P. Rai,0,1,1,0
3,Training needs of potato growers in Nalanda district of Bihar,Training Needs of Potato Growers in Nalanda District of Bihar,0,0,0,1,"S. L. Verma, M.N. Ansari",S.L. Verma and M.N. Ansari,0,1,1,0
4,Bihar Agriculture Growth and reform initiative,Bihar Agriculture Growth and Reform Initiative (BAGRI) ,0,0,0,1,,"Submitted to Department of Agriculture, Government of Bihar and DFID India ",0,1,0,0
5,Organic Potato in Nalanda (Bihar): Using Eco-Friendly Agri. Bios Inputs,Organic Potato in Nalanda (Bihar): Using Eco-Friendly Agri. Bios Inputs,0,0,0,1,"M.D. Ojha, Bholanath Saha",M.D. Ojha and Bholanath Saha,0,0,1,1
6,Potato production scenario and analysis of its total factor productivity in India,Potato Production Scenario and Analysis of its Total Factor Productivity in India,0,0,0,1,"Rajesh K Rana, MD. Ejaz Anwer",Rajesh K Rana and Md. Ejaz Anwer,0,1,1,0
7,Analysis of yield and technological gaps of potato production in Bihar,Analysis of Yield and Technological Gaps of Potato Production in Bihar,0,0,0,1,"Dhiraj K. Singh, N. K. Pandey, P. Kharumnuid, Raj Kumar Singh","Dhiraj K. Singh, N.K. Pandey, P . Kharumnuid, and Raj Kumar Singh",0,1,1,0
8,"Origin, Area, Production, Varieties, Package of practices for potato",Origin and History of Potato,0,0,1,0,,,0,0,0,1
9,Development of potato in BihaR:Issues and Strategies,Development of Potato in Bihar: Issues and Strategies,0,0,0,1,"K. M. Singh, Abhay Kumar",K.M. Singh and Abhay Kumar,0,1,1,0
10,Yield and duration of potato crop in Bihar under projected climate scenarios,Yield and duration of potato crop in Bihar under projected climate scenarios,0,0,0,1,"A. Abdul Haris, V. Chhabra, B. P. Bhatt, A. K. Sikka","A. Abdul Haris, V. Chhabra, B.P. Bhatt, and A.K. Sikka",0,1,1,0
11,The potato value chain benefits of cold storages: Evidence from Bihar (India),The Potato Value Chain and Benefits of Cold Storages: Evidence from Bihar (India),0,0,0,1,"K. M. Singh, Rajib Sustradhar","K. M. Singh, Rajib Sutradhar",0,1,1,0
12,The new and changing roles of cold storages in the potato supply chain in Bihar,The New and Changing Roles of Cold Storages in the Potato Supply Chain in Bihar,0,0,0,1,"K. M. Singh, Rajib Sustradhar","K. M. Singh, Rajib Sutradhar",0,1,1,0
13,First report on molecular basis of potato leaf roll virus (PLRV) aggravation by combined effect of tuber and prevailing aphid,First Report on Molecular Basis of Potato Leaf Roll Virus (PLRV) Aggravation by Combined Effect of Tuber and Prevailing Aphid,0,0,0,1,"Ravi Ranjan Kumar, Mohammed Ansar, Kumari Rajani, Jitesh Kumar, Tushar Ranjan","Ravi Ranjan Kumar, Mohammad Ansar, Kumari Rajani, Jitesh Kumar, Tushar Ranjan",0,1,1,0
14,The benefit of cold storages: Evidence from Bihar (India),The Benefit of Cold Storages: Evidence from Bihar (India),0,0,0,1,"K. M. Singh, Rajib Sustradhar","K. M. Singh, Rajib Sutradhar",0,1,1,0
15,Fertilizer economy in relation to potato based cropping systems in irrigated south Bihar alluvial plains,Fertilizer economy in relation to potato based cropping systems in irrigated south Bihar alluvial plains,0,0,0,1,"C. S. Prahaj, S. M. Paul Khurana, S. S. Lal","C.S. Pr ahar aj, SM P aul Khur ana",0,1,0,0
16,Genetic Progress in 50 Years of Potato Breeding in India: Where Do we stand?,Genetic Progress in 50 Years of Potato Breeding in India: Where Do We Stand?,0,0,0,1,"Salej Sood, Vinod Kumar, Vinay Bhardwaj, Vijai Kishor Gupta","Salej Sood, Vinay Bhardwaj, Vinod Kumar, Vijai Kishor Gupta",0,0,1,1
17,Problems of potato marketing in India,Problems of Potato Marketing in India,0,0,0,1,"Arun Pandit, Rajesh K. Rana","Arun Pandit, Rajesh K. Rana",0,0,1,1
